payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[5].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[6].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[7].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[8].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000113,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000113,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000113,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000113,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000113,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000114,sozcu.com.tr,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000114,sozcu.com.tr,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000114,sozcu.com.tr,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000114,sozcu.com.tr,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000114,sozcu.com.tr,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
